Date,Main1,Main2,Main3,Main4,Main5,Euro1,Euro2,Jackpot,Winners
23/03/2012,5,8,21,37,46,6,8,10000000,0
30/03/2012,5,7,12,19,26,1,5,11000000,0
06/04/2012,7,8,34,36,38,4,5,12000000,0
13/04/2012,5,11,12,27,32,1,3,14000000,0
20/04/2012,10,16,30,41,45,2,8,15000000,0
27/04/2012,10,13,19,40,45,3,5,16000000,0
04/05/2012,29,30,35,41,45,3,5,18000000,0
11/05/2012,15,21,38,39,47,1,5,19536864,1
18/05/2012,12,18,43,44,46,4,5,10000000,0
25/05/2012,4,11,26,32,41,5,7,11000000,0
01/06/2012,11,28,34,37,38,3,7,12000000,0
08/06/2012,10,15,16,36,44,7,8,13000000,0
15/06/2012,6,10,17,18,42,1,3,14000000,0
22/06/2012,13,14,16,47,49,1,7,15000000,0
29/06/2012,5,8,19,33,36,2,3,17000000,0
06/07/2012,10,22,24,33,38,2,6,18000000,0
13/07/2012,8,12,27,31,37,3,6,20000000,0
20/07/2012,6,9,13,14,25,1,8,21000000,0
27/07/2012,9,22,23,34,35,1,3,23000000,0
03/08/2012,12,15,18,24,25,4,5,24000000,0
10/08/2012,6,11,40,46,48,3,6,,0
17/08/2012,3,16,30,34,35,2,5,10000000,0
24/08/2012,9,20,21,33,49,5,7,11265231,1
31/08/2012,8,22,28,40,42,4,8,10000000,0
07/09/2012,15,23,25,46,49,2,4,11000000,0
14/09/2012,10,14,15,24,47,4,8,12000000,0
21/09/2012,18,29,41,44,49,1,5,14000000,0
28/09/2012,5,14,16,34,39,1,6,15000000,0
05/10/2012,26,28,40,49,50,2,7,16000000,0
12/10/2012,6,11,17,43,49,4,8,18000000,0
19/10/2012,6,14,18,19,48,3,8,19000000,0
26/10/2012,7,17,18,19,22,4,5,21320215,1
02/11/2012,3,5,7,12,31,5,7,10000000,0
09/11/2012,25,29,38,41,44,3,8,11000000,0
16/11/2012,1,4,7,21,26,4,7,12000000,0
23/11/2012,1,21,32,36,50,2,5,14000000,0
30/11/2012,2,13,21,24,37,6,7,15000000,0
07/12/2012,13,20,22,27,42,3,5,16000000,0
14/12/2012,17,28,31,35,39,5,8,18000000,0
21/12/2012,11,20,24,25,35,4,8,19000000,0
28/12/2012,5,8,22,32,39,7,8,21000000,0
04/01/2013,6,20,29,40,45,5,8,,0
11/01/2013,6,31,37,41,49,2,3,,0
18/01/2013,9,13,21,28,45,6,7,27000000,0
25/01/2013,4,13,28,37,38,7,8,29540642,1
01/02/2013,2,4,14,26,29,6,7,10000000,0
08/02/2013,12,14,17,27,43,1,7,11000000,0
15/02/2013,4,9,26,32,40,3,5,13000000,0
22/02/2013,3,13,41,46,49,3,8,15000000,0
01/03/2013,19,28,29,34,44,1,5,17000000,0
08/03/2013,10,12,14,30,43,2,5,21000000,0
15/03/2013,4,30,32,41,50,5,7,25000000,0
22/03/2013,5,12,21,43,48,5,6,29000000,0
29/03/2013,1,22,27,37,50,5,7,34000000,0
05/04/2013,22,31,37,38,41,2,6,39000000,0
12/04/2013,8,19,22,32,40,1,8,46079339,1
19/04/2013,17,18,22,24,25,1,6,10000000,0
26/04/2013,11,14,19,23,49,4,5,12000000,0
03/05/2013,14,16,28,44,48,3,7,13486561,1
10/05/2013,6,9,31,33,35,1,7,10000000,0
17/05/2013,4,6,10,13,32,1,8,11000000,0
24/05/2013,2,4,9,20,41,3,5,13000000,0
31/05/2013,5,9,12,23,40,2,7,15000000,0
07/06/2013,6,9,11,29,35,2,6,16000000,0
14/06/2013,1,25,46,47,48,3,8,19000000,0
21/06/2013,5,14,21,23,50,2,7,22000000,0
28/06/2013,6,8,23,33,49,3,8,26000000,0
05/07/2013,15,16,17,19,50,5,7,31000000,0
12/07/2013,7,27,33,47,48,2,7,36000000,0
19/07/2013,7,18,19,33,37,2,5,41522930,1
26/07/2013,4,13,19,25,43,3,4,10000000,0
02/08/2013,14,23,29,33,37,2,5,11000000,0
09/08/2013,7,26,32,34,49,1,6,13000000,0
16/08/2013,5,32,33,38,49,3,8,15541392,1
23/08/2013,4,10,25,30,47,2,3,10000000,0
30/08/2013,6,9,10,17,43,2,8,11000000,0
06/09/2013,3,7,20,32,44,4,5,13000000,0
13/09/2013,3,10,18,31,43,1,7,15000000,0
20/09/2013,2,6,15,18,24,5,7,17000000,0
27/09/2013,6,10,21,34,36,1,4,21256582,1
04/10/2013,1,7,16,21,48,1,8,10000000,0
11/10/2013,2,11,23,29,34,7,8,11000000,0
18/10/2013,7,22,24,25,41,1,3,13308948,1
25/10/2013,9,25,39,41,46,2,8,10000000,0
01/11/2013,7,10,13,26,27,5,8,11000000,0
08/11/2013,18,25,28,34,42,3,4,13000000,0
15/11/2013,3,19,32,43,48,4,8,15000000,0
22/11/2013,1,38,39,42,47,1,2,16000000,0
29/11/2013,17,25,32,35,45,4,7,18000000,0
06/12/2013,1,8,18,25,47,2,7,21047335,1
13/12/2013,9,19,24,28,49,2,8,10000000,0
20/12/2013,9,12,22,37,40,6,8,11000000,0
27/12/2013,2,15,33,40,43,3,7,13000000,0
03/01/2014,1,16,34,36,37,4,6,15000000,0
10/01/2014,8,18,22,33,40,2,8,17283822,1
17/01/2014,4,7,17,25,29,2,4,10000000,0
24/01/2014,4,28,30,36,46,3,7,11000000,0
31/01/2014,12,17,29,39,40,5,6,13000000,0
07/02/2014,16,18,20,36,49,3,4,15000000,0
14/02/2014,19,21,22,28,45,6,7,16000000,0
21/02/2014,2,4,21,30,41,7,8,20000000,0
28/02/2014,2,17,21,22,45,1,5,24000000,0
